
2024/07/25 (18:00:15) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/25 (23:25:36) | ===> btop++ v.1.3.2
2024/07/25 (23:25:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/25 (23:25:36) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/26 (14:14:11) | ===> btop++ v.1.3.2
2024/07/26 (14:14:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/26 (14:14:11) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/26 (18:00:20) | ===> btop++ v.1.3.2
2024/07/26 (18:00:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/26 (18:00:20) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/26 (22:56:37) | ===> btop++ v.1.3.2
2024/07/26 (22:56:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/26 (22:56:37) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/27 (11:36:28) | ===> btop++ v.1.3.2
2024/07/27 (11:36:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/27 (11:36:28) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/27 (19:47:41) | ===> btop++ v.1.3.2
2024/07/27 (19:47:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/27 (19:47:41) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/27 (20:37:34) | ===> btop++ v.1.3.2
2024/07/27 (20:37:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/27 (20:37:34) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/29 (02:17:28) | ===> btop++ v.1.3.2
2024/07/29 (02:17:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/29 (02:17:28) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/29 (02:46:45) | ===> btop++ v.1.3.2
2024/07/29 (02:46:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/29 (02:46:45) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/29 (02:54:42) | ===> btop++ v.1.3.2
2024/07/29 (02:54:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/29 (02:54:42) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/29 (15:09:30) | ===> btop++ v.1.3.2
2024/07/29 (15:09:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/29 (15:09:30) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/29 (16:31:02) | ===> btop++ v.1.3.2
2024/07/29 (16:31:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/29 (16:31:02) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/29 (22:14:13) | ===> btop++ v.1.3.2
2024/07/29 (22:14:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/29 (22:14:13) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/29 (22:14:40) | ===> btop++ v.1.3.2
2024/07/29 (22:14:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/29 (22:14:40) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/29 (23:48:00) | ===> btop++ v.1.3.2
2024/07/29 (23:48:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/29 (23:48:00) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/29 (23:50:38) | ===> btop++ v.1.3.2
2024/07/29 (23:50:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/29 (23:50:38) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/30 (00:01:04) | ===> btop++ v.1.3.2
2024/07/30 (00:01:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/30 (00:01:04) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/30 (01:35:50) | ===> btop++ v.1.3.2
2024/07/30 (01:35:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/30 (01:35:50) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/31 (17:38:48) | ===> btop++ v.1.3.2
2024/07/31 (17:38:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/31 (17:38:48) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/31 (17:39:39) | ===> btop++ v.1.3.2
2024/07/31 (17:39:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/31 (17:39:39) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/31 (17:39:52) | ===> btop++ v.1.3.2
2024/07/31 (17:39:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/31 (17:39:52) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/31 (17:40:36) | ===> btop++ v.1.3.2
2024/07/31 (17:40:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/31 (17:40:36) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/31 (17:41:42) | ===> btop++ v.1.3.2
2024/07/31 (17:41:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/31 (17:41:42) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/31 (23:12:40) | ===> btop++ v.1.3.2
2024/07/31 (23:12:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/31 (23:12:40) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/01 (00:28:09) | ===> btop++ v.1.3.2
2024/08/01 (00:28:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/01 (00:28:09) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/01 (01:05:41) | ===> btop++ v.1.3.2
2024/08/01 (01:05:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/01 (01:05:41) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/01 (12:47:54) | ===> btop++ v.1.3.2
2024/08/01 (12:47:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/01 (12:47:54) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/01 (14:52:21) | ===> btop++ v.1.3.2
2024/08/01 (14:52:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/01 (14:52:21) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/01 (14:52:49) | ===> btop++ v.1.3.2
2024/08/01 (14:52:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/01 (14:52:49) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/01 (14:58:13) | ===> btop++ v.1.3.2
2024/08/01 (14:58:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/01 (14:58:13) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/01 (15:00:56) | ===> btop++ v.1.3.2
2024/08/01 (15:00:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/01 (15:00:56) | WARNING: NVML: Failed to get GPU power usage: Not Supported

